Run,Library Name,Sample Name
SRR11205538,PR_1048,PR_1048
SRR11205539,BRZ_1279,BRZ_1279
SRR11205540,PR_1047,PR_1047
SRR11205541,PR_1046,PR_1046
SRR11205542,PR_1045,PR_1045
SRR11205543,PR_1044,PR_1044
SRR11205544,PR_1043,PR_1043
SRR11205545,PR_1042,PR_1042
SRR11205546,PR_1041,PR_1041
SRR11205547,PR_1040,PR_1040
SRR11205548,KEY_1379,KEY_1379
SRR11205549,KEY_1378,KEY_1378
SRR11205550,KEY_1377,KEY_1377
SRR11205551,KEY_1376,KEY_1376
SRR11205552,KEY_1375,KEY_1375
SRR11205553,KEY_1374,KEY_1374
SRR11205554,KEY_1373,KEY_1373
SRR11205555,KEY_1372,KEY_1372
SRR11205556,KEY_1371,KEY_1371
SRR11205557,BRZ_1263,BRZ_1263
SRR11205558,KEY_1370,KEY_1370
SRR11205559,KEY_1194,KEY_1194
SRR11205560,KEY_1193,KEY_1193
SRR11205561,TXL_29,TXL_29
SRR11205562,TXL_28,TXL_28
SRR11205563,TXL_27,TXL_27
SRR11205564,TXL_26,TXL_26
SRR11205565,TXL_25,TXL_25
SRR11205566,TXL_24,TXL_24
SRR11205567,TXL_23,TXL_23
SRR11205568,TXL_22,TXL_22
SRR11205569,TXL_21,TXL_21
SRR11205570,TXL_20,TXL_20
SRR11205571,BRZ_1449,BRZ_1449
SRR11205572,BRZ_1251,BRZ_1251
SRR11205573,TXL_1,TXL_1
SRR11205574,TXL_19,TXL_19
SRR11205575,TXL_18,TXL_18
SRR11205576,TXL_17,TXL_17
SRR11205577,TXL_16,TXL_16
SRR11205578,TXL_15,TXL_15
SRR11205579,TXL_14,TXL_14
SRR11205580,TXL_13,TXL_13
SRR11205581,TXL_12,TXL_12
SRR11205582,TXL_11,TXL_11
SRR11205583,BRZ_1448,BRZ_1448
SRR11205584,TXL_10,TXL_10
SRR11205585,TX_1146,TX_1146
SRR11205586,TX_1145,TX_1145
SRR11205587,TX_1144,TX_1144
SRR11205588,TX_1143,TX_1143
SRR11205589,TX_1142,TX_1142
SRR11205590,TX_1141,TX_1141
SRR11205591,TX_1140,TX_1140
SRR11205592,TX_1139,TX_1139
SRR11205593,TX_1138,TX_1138
SRR11205594,BRZ_1447,BRZ_1447
SRR11205595,TX_1137,TX_1137
SRR11205596,TX_1136,TX_1136
SRR11205597,TX_1135,TX_1135
SRR11205598,TX_1134,TX_1134
SRR11205599,TX_1133,TX_1133
SRR11205600,TX_1132,TX_1132
SRR11205601,TX_1131,TX_1131
SRR11205602,TX_1130,TX_1130
SRR11205603,TX_1129,TX_1129
SRR11205604,TX_1128,TX_1128
SRR11205605,BRZ_1446,BRZ_1446
SRR11205606,TX_1127,TX_1127
SRR11205607,TX_1126,TX_1126
SRR11205608,TX_1125,TX_1125
SRR11205609,BRZ_1284,BRZ_1284
SRR11205610,PR_967,PR_967
SRR11205611,PR_966,PR_966
SRR11205612,PR_965,PR_965
SRR11205613,PR_964,PR_964
SRR11205614,PR_963,PR_963
SRR11205615,PR_962,PR_962
SRR11205616,PR_961,PR_961
SRR11205617,PR_960,PR_960
SRR11205618,PR_959,PR_959
SRR11205619,PR_958,PR_958
SRR11205620,BRZ_1283,BRZ_1283
SRR11205621,PR_957,PR_957
SRR11205622,PR_956,PR_956
SRR11205623,PR_955,PR_955
SRR11205624,PR_954,PR_954
SRR11205625,PR_953,PR_953
SRR11205626,PR_952,PR_952
SRR11205627,PR_951,PR_951
SRR11205628,PR_950,PR_950
SRR11205629,PR_949,PR_949
SRR11205630,PR_948,PR_948
SRR11205631,BRZ_1282,BRZ_1282
SRR11205632,PR_947,PR_947
SRR11205633,PR_946,PR_946
SRR11205634,PR_945,PR_945
SRR11205635,PR_944,PR_944
SRR11205636,PR_943,PR_943
SRR11205637,PR_942,PR_942
SRR11205638,PR_941,PR_941
SRR11205639,PR_940,PR_940
SRR11205640,PR_939,PR_939
SRR11205641,KEY_1414,KEY_1414
SRR11205642,KEY_1413,KEY_1413
SRR11205643,KEY_1412,KEY_1412
SRR11205644,KEY_1411,KEY_1411
SRR11205645,KEY_1410,KEY_1410
SRR11205646,KEY_1409,KEY_1409
SRR11205647,KEY_1408,KEY_1408
SRR11205648,BRZ_1266,BRZ_1266
SRR11205649,KEY_1407,KEY_1407
SRR11205650,KEY_1406,KEY_1406
SRR11205651,KEY_1405,KEY_1405
SRR11205652,KEY_1404,KEY_1404
SRR11205653,KEY_1403,KEY_1403
SRR11205654,KEY_1402,KEY_1402
SRR11205655,KEY_1401,KEY_1401
SRR11205656,KEY_1400,KEY_1400
SRR11205657,KEY_1399,KEY_1399
SRR11205658,KEY_1398,KEY_1398
SRR11205659,BRZ_1265,BRZ_1265
SRR11205660,BRZ_1247,BRZ_1247
SRR11205661,KEY_1397,KEY_1397
SRR11205662,KEY_1396,KEY_1396
SRR11205663,KEY_1395,KEY_1395
SRR11205664,KEY_1394,KEY_1394
SRR11205665,KEY_1393,KEY_1393
SRR11205666,KEY_1392,KEY_1392
SRR11205667,KEY_1391,KEY_1391
SRR11205668,KEY_1383,KEY_1383
SRR11205669,KEY_1382,KEY_1382
SRR11205670,KEY_1381,KEY_1381
SRR11205671,BRZ_1264,BRZ_1264
