Run,Library Name,Sample Name
SRR11206175,PNS_812,PNS_812
SRR11206176,PNS_811,PNS_811
SRR11206177,PNS_810,PNS_810
SRR11206178,PNS_809,PNS_809
SRR11206179,PNS_808,PNS_808
SRR11206180,PNS_803,PNS_803
SRR11206181,BRZ_1258,BRZ_1258
SRR11206182,KEY_1070,KEY_1070
SRR11206183,KEY_1069,KEY_1069
SRR11206184,KEY_1068,KEY_1068
SRR11206185,KEY_1067,KEY_1067
SRR11206186,KEY_1066,KEY_1066
SRR11206187,KEY_1065,KEY_1065
SRR11206188,KEY_1064,KEY_1064
SRR11206189,KEY_1037,KEY_1037
SRR11206190,KEY_1036,KEY_1036
SRR11206191,KEY_1035,KEY_1035
SRR11206192,BRZ_1257,BRZ_1257
SRR11206193,KEY_1034,KEY_1034
SRR11206194,KEY_1033,KEY_1033
SRR11206195,KEY_1032,KEY_1032
SRR11206196,KEY_1031,KEY_1031
SRR11206197,KEY_1030,KEY_1030
SRR11206198,BRZ_1511,BRZ_1511
SRR11206199,BRZ_1510,BRZ_1510
SRR11206200,BRZ_1509,BRZ_1509
SRR11206201,BRZ_1508,BRZ_1508
SRR11206202,BRZ_1507,BRZ_1507
SRR11206203,BRZ_1256,BRZ_1256
SRR11206204,BRZ_1506,BRZ_1506
SRR11206205,BRZ_1505,BRZ_1505
SRR11206206,BRZ_1504,BRZ_1504
SRR11206207,BRZ_1503,BRZ_1503
SRR11206208,BRZ_1502,BRZ_1502
SRR11206209,BRZ_1501,BRZ_1501
SRR11206210,BRZ_1500,BRZ_1500
SRR11206211,BRZ_1499,BRZ_1499
SRR11206212,BRZ_1498,BRZ_1498
SRR11206213,BRZ_1497,BRZ_1497
SRR11206214,BRZ_1255,BRZ_1255
SRR11206215,BRZ_1246,BRZ_1246
SRR11206216,BRZ_1245,BRZ_1245
SRR11206217,TXL_41,TXL_41
SRR11206218,TXL_40,TXL_40
SRR11206219,TXL_3,TXL_3
SRR11206220,TXL_39,TXL_39
SRR11206221,BRZ_1459,BRZ_1459
SRR11206222,TXL_38,TXL_38
SRR11206223,TXL_37,TXL_37
SRR11206224,TXL_36,TXL_36
SRR11206225,TXL_35,TXL_35
SRR11206226,TXL_34,TXL_34
SRR11206227,TXL_33,TXL_33
SRR11206228,TXL_32,TXL_32
SRR11206229,TXL_31,TXL_31
SRR11206230,TXL_30,TXL_30
SRR11206231,TXL_2,TXL_2
SRR11206232,BRZ_1450,BRZ_1450
